2025-06-18T08:19:10.363+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZoneOffset -> org.hibernate.type.BasicTypeReference@13ef7fa1
2025-06-18T08:19:10.363+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.ZoneOffset -> org.hibernate.type.BasicTypeReference@13ef7fa1
2025-06-18T08:19:10.363+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration url -> org.hibernate.type.BasicTypeReference@23b1aa9
2025-06-18T08:19:10.363+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.net.URL -> org.hibernate.type.BasicTypeReference@23b1aa9
2025-06-18T08:19:10.363+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration vector -> org.hibernate.type.BasicTypeReference@54489296
2025-06-18T08:19:10.363+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration float_vector -> org.hibernate.type.BasicTypeReference@4e8598d9
2025-06-18T08:19:10.364+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration double_vector -> org.hibernate.type.BasicTypeReference@267ff4df
2025-06-18T08:19:10.364+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration byte_vector -> org.hibernate.type.BasicTypeReference@7c4b5ceb
2025-06-18T08:19:10.364+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration row_version -> org.hibernate.type.BasicTypeReference@6c07add6
2025-06-18T08:19:10.369+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration object -> org.hibernate.type.JavaObjectType@1600a8a2
2025-06-18T08:19:10.369+03:00 DEBUG 9040 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Object -> org.hibernate.type.JavaObjectType@1600a8a2
